"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 07 04:30:21 UTC 2026","Tue Apr 07 04:30:23 UTC 2026","1257","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='standard_user
'","Special-character usernames are rejected gracefully without crashing"
"passed","Tue Apr 07 04:30:45 UTC 2026","Tue Apr 07 04:30:46 UTC 2026","1560","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","emptyRequiredFieldShowsValidationError","emptyRequiredFieldShowsValidationError(ShippingInfo, String) shipping=ShippingInfo[firstName=, lastName=Doe, postalCode=12345] -> error contains 'First Name is required'","Each empty required field shows its specific validation error"
"passed","Tue Apr 07 04:30:09 UTC 2026","Tue Apr 07 04:30:10 UTC 2026","1294","","org.example.tests.CartTest","","org.example.tests.CartTest","singleAddedProductAppearsInCart","singleAddedProductAppearsInCart()","Single added product appears in cart"
"passed","Tue Apr 07 04:30:05 UTC 2026","Tue Apr 07 04:30:06 UTC 2026","1369","","org.example.tests.CartTest","","org.example.tests.CartTest","removingAllItemsHidesCartBadge","removingAllItemsHidesCartBadge()","Removing all items hides cart badge"
"passed","Tue Apr 07 04:30:34 UTC 2026","Tue Apr 07 04:30:35 UTC 2026","1095","","org.example.tests.LoginTest","","org.example.tests.LoginTest","lockedOutUserShowsError","lockedOutUserShowsError()","Locked out user sees an appropriate error message"
"passed","Tue Apr 07 04:30:40 UTC 2026","Tue Apr 07 04:30:41 UTC 2026","1633","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","validShippingInfoShowsOrderSummary","validShippingInfoShowsOrderSummary()","Valid shipping info shows order summary with item names and total price"
"passed","Tue Apr 07 04:30:23 UTC 2026","Tue Apr 07 04:30:24 UTC 2026","1266","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'","Special-character usernames are rejected gracefully without crashing"
"passed","Tue Apr 07 04:30:29 UTC 2026","Tue Apr 07 04:30:30 UTC 2026","1035","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyUsernameIsRejected","whitespaceOnlyUsernameIsRejected(String) username='  '","Whitespace-only username is rejected with an error"
"passed","Tue Apr 07 04:30:58 UTC 2026","Tue Apr 07 04:31:00 UTC 2026","1250","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","backToProductsFromDetailPageReturnsToInventory","backToProductsFromDetailPageReturnsToInventory()","Back to products from detail page returns to inventory list"
"passed","Tue Apr 07 04:30:17 UTC 2026","Tue Apr 07 04:30:18 UTC 2026","1053","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyPasswordIsRejected","whitespaceOnlyPasswordIsRejected(String) password='  '","Whitespace-only password is rejected with an error"
"passed","Tue Apr 07 04:30:54 UTC 2026","Tue Apr 07 04:30:55 UTC 2026","1218","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","productDetailPageShowsPriceAndDescription","productDetailPageShowsPriceAndDescription()","Product detail page shows price in correct $X.XX format and non-blank description"
"passed","Tue Apr 07 04:30:46 UTC 2026","Tue Apr 07 04:30:48 UTC 2026","1585","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","emptyRequiredFieldShowsValidationError","emptyRequiredFieldShowsValidationError(ShippingInfo, String) shipping=ShippingInfo[firstName=John, lastName=, postalCode=12345] -> error contains 'Last Name is required'","Each empty required field shows its specific validation error"
"passed","Tue Apr 07 04:30:41 UTC 2026","Tue Apr 07 04:30:43 UTC 2026","1683","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","orderOverviewDisplaysSubtotalAndTax","orderOverviewDisplaysSubtotalAndTax()","Order overview displays non-blank subtotal and tax labels"
"passed","Tue Apr 07 04:30:20 UTC 2026","Tue Apr 07 04:30:21 UTC 2026","1031","","org.example.tests.LoginTest","","org.example.tests.LoginTest","specialCharacterUsernamesAreRejectedGracefully","specialCharacterUsernamesAreRejectedGracefully(String) username='admin'--'","Special-character usernames are rejected gracefully without crashing"
"passed","Tue Apr 07 04:30:53 UTC 2026","Tue Apr 07 04:30:54 UTC 2026","1015","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","productsPageDisplaysAtLeastSixProducts","productsPageDisplaysAtLeastSixProducts()","Products page displays at least six products"
"passed","Tue Apr 07 04:30:25 UTC 2026","Tue Apr 07 04:30:26 UTC 2026","1597","","org.example.tests.LoginTest","","org.example.tests.LoginTest","logoutViaBurgerMenuReturnsToLoginPage","logoutViaBurgerMenuReturnsToLoginPage()","User can log out via burger menu and returns to login page"
"passed","Tue Apr 07 04:30:49 UTC 2026","Tue Apr 07 04:30:51 UTC 2026","2070","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","orderSummaryListsAllCartItems","orderSummaryListsAllCartItems()","Order summary lists all items added to cart before checkout"
"passed","Tue Apr 07 04:30:13 UTC 2026","Tue Apr 07 04:30:14 UTC 2026","1220","","org.example.tests.CartTest","","org.example.tests.CartTest","cartItemQuantityDefaultsToOne","cartItemQuantityDefaultsToOne()","Item quantity in cart defaults to 1 when added once"
"passed","Tue Apr 07 04:30:32 UTC 2026","Tue Apr 07 04:30:33 UTC 2026","1063","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialCombinationsShowMismatchError","invalidCredentialCombinationsShowMismatchError(String, String, String) user='bad_user' pass='secret_sauce' -> error contains 'Username and password do not match'","Invalid credential combinations show the mismatch error"
"passed","Tue Apr 07 04:30:10 UTC 2026","Tue Apr 07 04:30:11 UTC 2026","1403","","org.example.tests.CartTest","","org.example.tests.CartTest","multipleAddedProductsAllAppearInCart","multipleAddedProductsAllAppearInCart()","Multiple added products all appear in cart"
"passed","Tue Apr 07 04:30:06 UTC 2026","Tue Apr 07 04:30:07 UTC 2026","1338","","org.example.tests.CartTest","","org.example.tests.CartTest","continueShoppingNavigatesBackToProductsPage","continueShoppingNavigatesBackToProductsPage()","Continue shopping navigates back to products page"
"passed","Tue Apr 07 04:30:14 UTC 2026","Tue Apr 07 04:30:15 UTC 2026","1022","","org.example.tests.LoginTest","","org.example.tests.LoginTest","emptyPasswordShowsError","emptyPasswordShowsError()","Submitting with empty password shows a validation error"
"passed","Tue Apr 07 04:30:57 UTC 2026","Tue Apr 07 04:30:58 UTC 2026","1139","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","selectingProductNavigatesToDetailPageWithMatchingName","selectingProductNavigatesToDetailPageWithMatchingName()","Selecting a product navigates to the detail page with a matching name"
"passed","Tue Apr 07 04:31:13 UTC 2026","Tue Apr 07 04:31:14 UTC 2026","1058","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","nameSortOptionsProduceCorrectOrder","nameSortOptionsProduceCorrectOrder(String, boolean) sort='za' -> ascending=false","Name sort options produce correct alphabetical ordering"
"passed","Tue Apr 07 04:30:07 UTC 2026","Tue Apr 07 04:30:09 UTC 2026","1184","","org.example.tests.CartTest","","org.example.tests.CartTest","emptyCartShowsNoBadge","emptyCartShowsNoBadge()","Empty cart shows no badge in the header"
"passed","Tue Apr 07 04:31:01 UTC 2026","Tue Apr 07 04:31:02 UTC 2026","1215","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","cartBadgeCountMatchesItemsAdded","cartBadgeCountMatchesItemsAdded(int) add 1 item(s) -> badge=1","Cart badge count matches items added (boundary: 1 and 6)"
"passed","Tue Apr 07 04:30:24 UTC 2026","Tue Apr 07 04:30:25 UTC 2026","1004","","org.example.tests.LoginTest","","org.example.tests.LoginTest","dismissingErrorMessageHidesIt","dismissingErrorMessageHidesIt()","Dismissing the error message hides it"
"passed","Tue Apr 07 04:30:16 UTC 2026","Tue Apr 07 04:30:17 UTC 2026","1081","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyPasswordIsRejected","whitespaceOnlyPasswordIsRejected(String) password=' '","Whitespace-only password is rejected with an error"
"passed","Tue Apr 07 04:30:56 UTC 2026","Tue Apr 07 04:30:57 UTC 2026","1104","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","priceSortOptionsProduceCorrectOrder","priceSortOptionsProduceCorrectOrder(String, boolean) sort='hilo' -> ascending=false","Price sort options produce correct numeric ordering"
"passed","Tue Apr 07 04:30:48 UTC 2026","Tue Apr 07 04:30:49 UTC 2026","1627","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","emptyRequiredFieldShowsValidationError","emptyRequiredFieldShowsValidationError(ShippingInfo, String) shipping=ShippingInfo[firstName=John, lastName=Doe, postalCode=] -> error contains 'Postal Code is required'","Each empty required field shows its specific validation error"
"passed","Tue Apr 07 04:29:57 UTC 2026","Tue Apr 07 04:30:03 UTC 2026","6283","","org.example.tests.CartTest","","org.example.tests.CartTest","removedItemNoLongerInCartList","removedItemNoLongerInCartList()","Removed item no longer in cart list"
"passed","Tue Apr 07 04:30:26 UTC 2026","Tue Apr 07 04:30:27 UTC 2026","1009","","org.example.tests.LoginTest","","org.example.tests.LoginTest","emptyUsernameShowsError","emptyUsernameShowsError()","Submitting with empty username shows a validation error"
"passed","Tue Apr 07 04:31:14 UTC 2026","Tue Apr 07 04:31:15 UTC 2026","1330","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","addToCartFromDetailPageShowsBadgeCountOne","addToCartFromDetailPageShowsBadgeCountOne()","Adding a product to cart from detail page shows badge count of one"
"passed","Tue Apr 07 04:30:03 UTC 2026","Tue Apr 07 04:30:05 UTC 2026","1396","","org.example.tests.CartTest","","org.example.tests.CartTest","proceedToCheckoutNavigatesToCheckoutStepOne","proceedToCheckoutNavigatesToCheckoutStepOne()","Proceeding to checkout navigates to checkout step one"
"passed","Tue Apr 07 04:30:35 UTC 2026","Tue Apr 07 04:30:37 UTC 2026","1701","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","cancelFromOverviewReturnsToProductsPage","cancelFromOverviewReturnsToProductsPage()","Cancel from checkout overview returns to products page"
"passed","Tue Apr 07 04:30:43 UTC 2026","Tue Apr 07 04:30:45 UTC 2026","1693","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","backHomeAfterOrderConfirmationNavigatesToProductsPage","backHomeAfterOrderConfirmationNavigatesToProductsPage()","Back Home after order confirmation navigates to the products page"
"passed","Tue Apr 07 04:31:00 UTC 2026","Tue Apr 07 04:31:01 UTC 2026","1242","","org.example.tests.ProductsTest","","org.example.tests.ProductsTest","removingItemFromProductsPageClearsBadge","removingItemFromProductsPageClearsBadge()","Removing an item from products page clears badge when cart becomes empty"
"passed","Tue Apr 07 04:30:37 UTC 2026","Tue Apr 07 04:30:38 UTC 2026","1665","","org.example.tests.CheckoutTest","","org.example.tests.CheckoutTest","completingOrderShowsConfirmationMessage","completingOrderShowsConfirmationMessage()","Completing order shows confirmation message"
"passed","Tue Apr 07 04:30:33 UTC 2026","Tue Apr 07 04:30:34 UTC 2026","1074","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialCombinationsShowMismatchError","invalidCredentialCombinationsShowMismatchError(String, String, String) user='standard_user' pass='wrong_pass' -> error contains 'Username and password do not match'","Invalid credential combinations show the mismatch error"
"passed","Tue Apr 07 04:30:30 UTC 2026","Tue Apr 07 04:30:31 UTC 2026","1036","","org.example.tests.LoginTest","","org.example.tests.LoginTest","whitespaceOnlyUsernameIsRejected","whitespaceOnlyUsernameIsRejected(String) username='	'","Whitespace-only username is rejected with an error"
"passed","Tue Apr 07 04:30:15 UTC 2026","Tue Apr 07 04:30:16 UTC 2026","1098","","org.example.tests.LoginTest","","org.example.tests.LoginTest","validLoginNavigatesToProductsPage","validLoginNavigatesToProductsPage()","Valid credentials navigate to the products page"
